"customer_id","recency","frequency","monetary","rfm_score","r_score","f_score","m_score","total_score","rfm_segmenting"
"2008","93","18","1149","144",1,4,4,9,"Lost"
"1324","93","6","91","122",1,2,2,5,"Lost"
"5221","93","22","879","154",1,5,4,10,"Lost"
"3628","93","5","80","112",1,1,2,4,"Lost"
"6988","93","20","1443","145",1,4,5,10,"Lost"
"2875","93","23","906","154",1,5,4,10,"Lost"
"4440","93","17","546","143",1,4,3,8,"Lost"
"3641","93","5","36","111",1,1,1,3,"Lost"
"5389","93","13","347","133",1,3,3,7,"Lost"
"2878","93","13","414","133",1,3,3,7,"Lost"
"1916","92","14","437","133",1,3,3,7,"Lost"
"9916","92","5","54","111",1,1,1,3,"Lost"
"5954","92","9","192","132",1,3,2,6,"Lost"
"4094","92","11","289","133",1,3,3,7,"Lost"
"8588","92","11","289","133",1,3,3,7,"Lost"
"9135","92","4","64","112",1,1,2,4,"Lost"
"3916","92","22","890","154",1,5,4,10,"Lost"
"4843","92","18","833","144",1,4,4,9,"Lost"
"3298","92","24","1152","154",1,5,4,10,"Lost"
"7286","92","4","55","111",1,1,1,3,"Lost"
"7938","92","15","449","143",1,4,3,8,"Lost"
"1764","92","11","270","133",1,3,3,7,"Lost"
"1517","92","4","51","111",1,1,1,3,"Lost"
"7396","92","25","1597","155",1,5,5,11,"Established Spender"
"3745","92","6","103","122",1,2,2,5,"Lost"
"5631","92","17","692","144",1,4,4,9,"Lost"
"1951","92","21","839","154",1,5,4,10,"Lost"
"6515","92","5","50","111",1,1,1,3,"Lost"
"4508","92","18","833","144",1,4,4,9,"Lost"
"6941","92","5","95","112",1,1,2,4,"Lost"
"5562","92","19","735","144",1,4,4,9,"Lost"
"9197","92","5","47","111",1,1,1,3,"Lost"
"9451","92","23","1658","155",1,5,5,11,"Established Spender"
"6237","92","25","416","153",1,5,3,9,"Lost"
"4687","92","23","1633","155",1,5,5,11,"Established Spender"
"123","92","13","993","134",1,3,4,8,"Lost"
"946","92","9","210","133",1,3,3,7,"Lost"
"2227","92","9","210","133",1,3,3,7,"Lost"
"961","92","15","860","144",1,4,4,9,"Lost"
"6730","92","5","54","111",1,1,1,3,"Lost"
"7270","91","18","1241","145",1,4,5,10,"Lost"
"2246","91","7","183","122",1,2,2,5,"Lost"
"10307","91","16","525","143",1,4,3,8,"Lost"
"10678","91","23","917","154",1,5,4,10,"Lost"
"7128","91","3","15","111",1,1,1,3,"Lost"
"6565","91","24","1782","155",1,5,5,11,"Established Spender"
"8182","91","7","121","122",1,2,2,5,"Lost"
"2147","91","22","2279","155",1,5,5,11,"Established Spender"
"7755","91","14","411","133",1,3,3,7,"Lost"
